Name,Date inscribed,Danger list,Longitude,Latitude,Area hectares,Country,Continent,Geographical coordinates
Historic Site of Lyons,1998-01-01,,4.83333,45.76722,427.0,France,Europe and North America,"45.76722,4.83333"
Defence Line of Amsterdam,1996-01-01,,4.893055556,52.37444444,14953.3,"Netherlands,Netherlands",Europe and North America,"52.37444444,4.893055556"
Naval Port of Karlskrona,1998-01-01,,15.58333,56.16667,0.0,Sweden,Europe and North America,"56.16667,15.58333"
Franciscan Missions in the Sierra Gorda of Querétaro,2003-01-01,,-99.46411111,21.20438889,103.7,Mexico,Latin America and the Caribbean,"21.20438889,-99.46411111"
Dacian Fortresses of the Orastie Mountains,1999-01-01,,23.31194444,45.62305556,0.0,Romania,Europe and North America,"45.62305556,23.31194444"
Villa Adriana (Tivoli),1999-01-01,,12.77197222,41.94416667,80.0,Italy,Europe and North America,"41.94416667,12.77197222"
Historic Centre of Agadez,2013-01-01,,7.9913888889000000,16.9736111111,77.6,Niger,Africa,"16.9736111111,7.9913888889"
"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",1998-01-01,,4.13722,50.48111,67.3436,Belgium,Europe and North America,"50.48111,4.13722"
Viñales Valley,1999-01-01,,-83.71667,22.61667,0.0,Cuba,Latin America and the Caribbean,"22.61667,-83.71667"
"Melaka and George Town, Historic Cities of the Straits of Malacca",2008-01-01,,100.345833333,5.4213888889,218.76,Malaysia,Asia and the Pacific,"5.4213888889,100.345833333"
Dazu Rock Carvings,1999-01-01,,105.705,29.70111,20.41,China,Asia and the Pacific,"29.70111,105.705"
Historic Centre of Prague,1992-01-01,,14.41944,50.08972,1106.36,Czech Republic,Europe and North America,"50.08972,14.41944"
Great Mosque and Hospital of Divriği,1985-01-01,,38.121826,39.371271,2016.0,Turkey,Europe and North America,"39.371271,38.121826"
Historic Centre of the Town of Olinda,1982-01-01,,-34.845,-8.013333333,120.0,Brazil,Latin America and the Caribbean,"-8.013333333,-34.845"
Monticello and the University of Virginia in Charlottesville,1987-01-01,,-78.50388889,38.03277778,795.96,United States of America,Europe and North America,"38.03277778,-78.50388889"
Shrines and Temples of Nikko,1999-01-01,,139.6105556,36.7475,50.8,Japan,Asia and the Pacific,"36.7475,139.6105556"
Zollverein Coal Mine Industrial Complex in Essen,2001-01-01,,7.046111111,51.49138889,0.0,Germany,Europe and North America,"51.49138889,7.046111111"
Maritime Greenwich,1997-01-01,,0.0,51.47777778,109.5,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"51.47777778,0.0"
Old Town of Corfu,2007-01-01,,19.9275,39.6239413889,70.0,Greece,Europe and North America,"39.6239413889,19.9275"
Historic Town of Ouro Preto,1980-01-01,,-43.50555556,-20.38888889,0.0,Brazil,Latin America and the Caribbean,"-20.38888889,-43.50555556"
Jongmyo Shrine,1995-01-01,,126.98333,37.55,19.4,Republic of Korea,Asia and the Pacific,"37.55,126.98333"
"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",1986-01-01,,6.633333333,49.75,0.0,Germany,Europe and North America,"49.75,6.633333333"
Wooden <em>Tserkvas</em> of the Carpathian Region in Poland and Ukraine,2013-01-01,,21.0322222222,49.5338888889,7.03,"Poland,Ukraine",Europe and North America,"49.5338888889,21.0322222222"
Notre-Dame Cathedral in Tournai,2000-01-01,,3.38926,50.60603,0.4963,Belgium,Europe and North America,"50.60603,3.38926"
Portuguese City of Mazagan (El Jadida),2004-01-01,,-8.50194,33.25667,7.5,Morocco,Arab States,"33.25667,-8.50194"
Historic Centre of Cordoba,1984-01-01,,-4.779722222,37.87919444,0.0,Spain,Europe and North America,"37.87919444,-4.779722222"
Litomyšl Castle,1999-01-01,,16.31444,49.87361,4.4,Czech Republic,Europe and North America,"49.87361,16.31444"
Mapungubwe Cultural Landscape,2003-01-01,,29.23889,-22.1925,28168.6602,South Africa,Africa,"-22.1925,29.23889"
Derwent Valley Mills,2001-01-01,,-1.488055556,53.02888889,1228.7,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"53.02888889,-1.488055556"
Persepolis,1979-01-01,,52.89028,29.93444,12.5,Iran (Islamic Republic of),Asia and the Pacific,"29.93444,52.89028"
"Historic Centre of Oporto, Luiz I Bridge and Monastery of Serra do Pilar",1996-01-01,,-8.616666667,41.14166667,0.0,Portugal,Europe and North America,"41.14166667,-8.616666667"
Wachau Cultural Landscape,2000-01-01,,15.43416667,48.36444444,18387.0,Austria,Europe and North America,"48.36444444,15.43416667"
Himeji-jo,1993-01-01,,134.7,34.83333333,107.0,Japan,Asia and the Pacific,"34.83333333,134.7"
Old City of Acre,2001-01-01,,35.08388889,32.92833333,63.3,Israel,Europe and North America,"32.92833333,35.08388889"
Richtersveld Cultural and Botanical Landscape,2007-01-01,,17.2038888888,-28.6,160000.0,South Africa,Africa,"-28.6,17.2038888888"
Stoclet House,2009-01-01,,4.4161111111,50.835,0.86,Belgium,Europe and North America,"50.835,4.4161111111"
Historic Centre of Kraków,1978-01-01,,19.9372222222,50.0613888889,149.65,Poland,Europe and North America,"50.0613888889,19.9372222222"
Central University City Campus of the <i>Universidad Nacional Autónoma de México</i> (UNAM),2007-01-01,,-99.1880555555,19.3322222222,176.5,Mexico,Latin America and the Caribbean,"19.3322222222,-99.1880555555"
Medina of Fez,1981-01-01,,-4.97778,34.06111,280.0,Morocco,Arab States,"34.06111,-4.97778"
Historic Monuments of Novgorod and Surroundings,1992-01-01,,31.28333,58.53333,0.0,Russian Federation,Europe and North America,"58.53333,31.28333"
