Name,Date inscribed,Danger list,Longitude,Latitude,Area hectares,Country,Continent,Geographical coordinates
Royal Palaces of Abomey,1985-01-01,,1.983333333,7.183333333,47.6,Benin,Africa,"7.183333333,1.983333333"
Archaeological Site of Ani,2016-01-01,,43.5666666667,40.5,250.7,Turkey,Europe and North America,"40.5,43.5666666667"
"Cidade Velha, Historic Centre of Ribeira Grande",2009-01-01,,-23.6051944444,14.9151388889,209.1,Cabo Verde,Africa,"14.9151388889,-23.6051944444"
Al-Hijr Archaeological Site (Madâin Sâlih),2008-01-01,,37.955,26.7836111111,1621.2,Saudi Arabia,Arab States,"26.7836111111,37.955"
Monastery of Geghard and the Upper Azat Valley,2000-01-01,,44.79667,40.15889,2.7,Armenia,Europe and North America,"40.15889,44.79667"
Historic Areas of Istanbul,1985-01-01,,28.97993,41.00847,678.0,Turkey,Europe and North America,"41.00847,28.97993"
Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,2015-01-01,,13.3530555556,38.1108333333,6.235,Italy,Europe and North America,"38.1108333333,13.3530555556"
Baroque Churches of the Philippines,1993-01-01,,120.97,14.59,,Philippines,Asia and the Pacific,"14.59,120.97"
University of Coimbra – Alta and Sofia,2013-01-01,,-8.425775,40.2078111111,35.5,Portugal,Europe and North America,"40.2078111111,-8.425775"
Land of Frankincense,2000-01-01,,53.64759,18.25333,849.88,Oman,Arab States,"18.25333,53.64759"
<I>Sacri Monti</I> of Piedmont and Lombardy,2003-01-01,,9.169555556,45.97455556,90.5,Italy,Europe and North America,"45.97455556,9.169555556"
Prambanan Temple Compounds,1991-01-01,,110.49167,-7.75222,0.0,Indonesia,Asia and the Pacific,"-7.75222,110.49167"
Ancient City of Tauric Chersonese and its Chora,2013-01-01,,33.4913888889,44.6108333333,259.3752,Ukraine,Europe and North America,"44.6108333333,33.4913888889"
Monasteries of Haghpat and Sanahin,1996-01-01,,44.71028,41.095,2.65,Armenia,Europe and North America,"41.095,44.71028"
Hanseatic City of Lübeck,1987-01-01,,10.69167,53.86667,81.1,Germany,Europe and North America,"53.86667,10.69167"
"Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining",2015-01-01,,131.412222222,34.4305555556,306.66,Japan,Asia and the Pacific,"34.4305555556,131.412222222"
Archaeological Site of Sabratha,1982-01-01,,12.485,32.80528,0.0,Libya,Arab States,"32.80528,12.485"
Ancient City of Damascus,1979-01-01,,36.30639,33.51139,86.12,Syrian Arab Republic,Arab States,"33.51139,36.30639"
Historic Centre of Vienna,2001-01-01,,16.38333333,48.21666667,371.0,Austria,Europe and North America,"48.21666667,16.38333333"
Medina of Tunis,1979-01-01,,10.16667,36.81667,296.41,Tunisia,Arab States,"36.81667,10.16667"
Bergpark Wilhelmshöhe,2013-01-01,,9.3930555556,51.3158333333,558.7,Germany,Europe and North America,"51.3158333333,9.3930555556"
Archaeological Site of Atapuerca,2000-01-01,,-3.5472222220000000,42.37138889,284.119,Spain,Europe and North America,"42.37138889,-3.547222222"
Historic Monuments of Ancient Nara,1998-01-01,,135.8394444,34.67555556,617.0,Japan,Asia and the Pacific,"34.67555556,135.8394444"
"Royal Botanic Gardens, Kew",2003-01-01,,-0.294027778,51.48194444,132.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"51.48194444,-0.294027778"
Antequera Dolmens Site,2016-01-01,,-4.5444444444,37.025,,Spain,Europe and North America,"37.025,-4.5444444444"
"Botanical Garden (Orto Botanico), Padua",1997-01-01,,11.88066667,45.39911111,2.2,Italy,Europe and North America,"45.39911111,11.88066667"
Kaiping Diaolou and Villages,2007-01-01,,112.565861111,22.2855194444,371.948,China,Asia and the Pacific,"22.2855194444,112.565861111"
"Monastery and Site of the Escurial, Madrid",1984-01-01,,-4.126416667,40.58175,94.11,Spain,Europe and North America,"40.58175,-4.126416667"
Golestan Palace,2013-01-01,,51.4205111111,35.6803666667,5.3,Iran (Islamic Republic of),Asia and the Pacific,"35.6803666667,51.4205111111"
Rock Shelters of Bhimbetka,2003-01-01,,77.58333333,22.92777778,1893.0,India,Asia and the Pacific,"22.92777778,77.58333333"
Historic Bridgetown and its Garrison,2011-01-01,,-59.6138888889,13.0966666667,187.0,Barbados,Latin America and the Caribbean,"13.0966666667,-59.6138888889"
Champaner-Pavagadh Archaeological Park,2004-01-01,,73.53333333,22.48333333,1328.89,India,Asia and the Pacific,"22.48333333,73.53333333"
Ħal Saflieni Hypogeum,1980-01-01,,14.507390000000000,35.871340000000000,0.13,Malta,Europe and North America,"35.87134,14.50739"
Urban Historic Centre of Cienfuegos,2005-01-01,,-80.45278,22.14722,70.0,Cuba,Latin America and the Caribbean,"22.14722,-80.45278"
Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato,2014-01-01,,7.9636111111000000,44.6086111111,10789.0,Italy,Europe and North America,"44.6086111111,7.9636111111"
Kunya-Urgench,2005-01-01,,59.08494,42.18318,0.0,Turkmenistan,Asia and the Pacific,"42.18318,59.08494"
Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of God (Horsh Arz el-Rab),1998-01-01,,36.04889,34.24333,0.0,"Lebanon,Lebanon",Arab States,"34.24333,36.04889"
Group of Monuments at Hampi,1986-01-01,P 1999-2006,76.47167,15.31444,4187.24,India,Asia and the Pacific,"15.31444,76.47167"
"Jelling Mounds, Runic Stones and Church",1994-01-01,,9.42,55.75638889,4.96,Denmark,Europe and North America,"55.75638889,9.42"
Historic Town of Guanajuato and Adjacent Mines,1988-01-01,,-101.25556,21.01694,2167.5,Mexico,Latin America and the Caribbean,"21.01694,-101.25556"
Incense Route - Desert Cities in the Negev,2005-01-01,,35.16083,30.54111,6655.0,Israel,Europe and North America,"30.54111,35.16083"
Gardens and Castle at Kroměříž,1998-01-01,,17.37722222,49.3,74.5,Czech Republic,Europe and North America,"49.3,17.37722222"
"Kremlin and Red Square, Moscow",1990-01-01,,37.62972,55.74583,0.0,Russian Federation,Europe and North America,"55.74583,37.62972"
"Historical Monuments at Makli, Thatta",1981-01-01,,67.9,24.76666667,0.0,Pakistan,Asia and the Pacific,"24.76666667,67.9"
"Rock-Hewn Churches, Lalibela",1978-01-01,,39.04042,12.02935,0.0,Ethiopia,Africa,"12.02935,39.04042"
Old City of Dubrovnik,1979-01-01,P 1991-1998,18.09139,42.65056,96.7,Croatia,Europe and North America,"42.65056,18.09139"
Medina of Essaouira (formerly Mogador),2001-01-01,,-9.76944,31.51667,30.0,Morocco,Arab States,"31.51667,-9.76944"
Saltaire,2001-01-01,,-1.7883333330000000,53.83916667,20.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"53.83916667,-1.788333333"
Pilgrimage Church of St John of Nepomuk at Zelená Hora,1994-01-01,,15.9420583333,49.5802,0.64,Czech Republic,Europe and North America,"49.5802,15.9420583333"
Old City of Zamość,1992-01-01,,23.26667,50.71667,75.0391,Poland,Europe and North America,"50.71667,23.26667"
Prehistoric Rock Art Sites in the Côa Valley and Siega Verde,1998-01-01,,-6.6611111111,40.6975,,"Portugal,Spain",Europe and North America,"40.6975,-6.6611111111"
"Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy",1983-01-01,,6.183333333,48.69361111,0.0,France,Europe and North America,"48.69361111,6.183333333"
The Persian Qanat,2016-01-01,,58.6544444444,34.29,,Iran (Islamic Republic of),Asia and the Pacific,"34.29,58.6544444444"
"Archaeological Site of Nalanda <i>Mahavihara</i> (Nalanda University) at Nalanda, Bihar",2016-01-01,,85.4438888889,25.1366666667,23.0,India,Asia and the Pacific,"25.1366666667,85.4438888889"
Ancient Villages in Southern Anhui – Xidi and Hongcun,2000-01-01,,117.9875,29.90444444,52.0,China,Asia and the Pacific,"29.90444444,117.9875"
Archaeological Park and Ruins of Quirigua,1981-01-01,,-89.04025,15.27059,0.0,Guatemala,Latin America and the Caribbean,"15.27059,-89.04025"
Osun-Osogbo Sacred Grove,2005-01-01,,4.55222,7.75556,75.0,Nigeria,Africa,"7.75556,4.55222"
Historic Centre of Naples,1995-01-01,,14.26277778,40.85138889,1021.0,Italy,Europe and North America,"40.85138889,14.26277778"
"Rani-ki-Vav (the Queen’s Stepwell) at Patan, Gujarat",2014-01-01,,72.1016666667,23.8588888889,4.68,India,Asia and the Pacific,"23.8588888889,72.1016666667"
Pre-Hispanic City and National Park of Palenque,1987-01-01,,-92.05,17.48333,1772.0,Mexico,Latin America and the Caribbean,"17.48333,-92.05"
Historic Centre of Évora,1986-01-01,,-7.90778,38.57306,0.0,Portugal,Europe and North America,"38.57306,-7.90778"
Monastery of the Hieronymites and Tower of Belém in Lisbon,1983-01-01,,-9.21583,38.69194,2.66,Portugal,Europe and North America,"38.69194,-9.21583"
Historic Centre of Saint Petersburg and Related Groups of Monuments,1990-01-01,,30.31833,59.95,3934.1,Russian Federation,Europe and North America,"59.95,30.31833"
Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,1980-01-01,Y 2012,-79.65583333,9.553888889,0.0,Panama,Latin America and the Caribbean,"9.553888889,-79.65583333"
Zuojiang Huashan Rock Art Cultural Landscape,2016-01-01,,107.023055556,22.2555555556,6621.6,China,Asia and the Pacific,"22.2555555556,107.023055556"
Island of Gorée,1978-01-01,,-17.40083,14.66722,0.0,Senegal,Africa,"14.66722,-17.40083"
"Ferrara, City of the Renaissance, and its Po Delta",1995-01-01,,11.61944444,44.83777778,46712.0,Italy,Europe and North America,"44.83777778,11.61944444"
"Piazza del Duomo, Pisa",1987-01-01,,10.39638889,43.72305556,8.87,Italy,Europe and North America,"43.72305556,10.39638889"
White Monuments of Vladimir and Suzdal,1992-01-01,,40.41666667,56.15,0.0,Russian Federation,Europe and North America,"56.15,40.41666667"
"Lavaux, Vineyard Terraces",2007-01-01,,6.7461111111,46.4919444444,898.0,Switzerland,Europe and North America,"46.4919444444,6.7461111111"
"Alhambra, Generalife and Albayzín, Granada",1984-01-01,,-3.59444,37.17667,0.0,Spain,Europe and North America,"37.17667,-3.59444"
Mudejar Architecture of Aragon,1986-01-01,,-1.10722,40.34389,0.0,Spain,Europe and North America,"40.34389,-1.10722"
"The Climats, terroirs of Burgundy",2015-01-01,,4.8644444444,47.0580555556,13219.0,France,Europe and North America,"47.0580555556,4.8644444444"
Durham Castle and Cathedral,1986-01-01,,-1.576111111,54.77472222,8.79,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"54.77472222,-1.576111111"
Historic Centre of Oaxaca and Archaeological Site of Monte Albán,1987-01-01,,-96.72167,17.06194,375.0,Mexico,Latin America and the Caribbean,"17.06194,-96.72167"
Nord-Pas de Calais Mining Basin,2012-01-01,,3.5461111111,50.4625,3943.0,France,Europe and North America,"50.4625,3.5461111111"
"La Chaux-de-Fonds / Le Locle, Watchmaking Town Planning",2009-01-01,,6.8327777778000000,47.1038888889,283.9,Switzerland,Europe and North America,"47.1038888889,6.8327777778"
Pilgrimage Church of Wies,1983-01-01,,10.900138890000000,47.68127778,0.1,Germany,Europe and North America,"47.68127778,10.90013889"
Fagus Factory in Alfeld,2011-01-01,,9.8111111111,51.9836111111,1.88,Germany,Europe and North America,"51.9836111111,9.8111111111"
Independence Hall,1979-01-01,,-75.15,39.94861111,2.0,United States of America,Europe and North America,"39.94861111,-75.15"
Medieval Town of Toruń,1997-01-01,,18.61944,53.01,48.0,Poland,Europe and North America,"53.01,18.61944"
Cahokia Mounds State Historic Site,1982-01-01,,-90.06138889,38.65861111,591.0,United States of America,Europe and North America,"38.65861111,-90.06138889"
Rice Terraces of the Philippine Cordilleras,1995-01-01,P 2001-2012,121.13667,16.93389,0.0,"Philippines,Philippines",Asia and the Pacific,"16.93389,121.13667"
Colonial City of Santo Domingo,1990-01-01,,-69.91666667,18.48333333,106.0,"Dominican Republic,Dominican Republic",Latin America and the Caribbean,"18.48333333,-69.91666667"
Monastery of Batalha,1983-01-01,,-8.82694,39.65778,0.98,Portugal,Europe and North America,"39.65778,-8.82694"
Central Sector of the Imperial Citadel of Thang Long - Hanoi,2010-01-01,,105.837222222,21.0394444444,18.395,Viet Nam,Asia and the Pacific,"21.0394444444,105.837222222"
Classical Gardens of Suzhou,1997-01-01,,120.45,31.31666667,11.922,China,Asia and the Pacific,"31.31666667,120.45"
University and Historic Precinct of Alcalá de Henares,1998-01-01,,-3.368055556,40.48138889,0.0,Spain,Europe and North America,"40.48138889,-3.368055556"
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,2003-01-01,Y 2003,67.82525,34.846940000000000,158.9265,Afghanistan,Asia and the Pacific,"34.84694,67.82525"
Bikini Atoll Nuclear Test Site,2010-01-01,,165.380555556,11.6,73500.0,Marshall Islands,Asia and the Pacific,"11.6,165.380555556"
Town of Luang Prabang,1995-01-01,,102.13333,19.88889,820.0,Lao People's Democratic Republic,Asia and the Pacific,"19.88889,102.13333"
Bursa and Cumalıkızık: the Birth of the Ottoman Empire,2014-01-01,,29.0623361111,40.1847305556,27.467,Turkey,Europe and North America,"40.1847305556,29.0623361111"
Fray Bentos Industrial Landscape,2015-01-01,,-58.3316666667,-33.1177777778,273.8,Uruguay,Latin America and the Caribbean,"-33.1177777778,-58.3316666667"
Historic City of Vigan,1999-01-01,,120.3875,17.575,0.0,Philippines,Asia and the Pacific,"17.575,120.3875"
Historic Centre of Zacatecas,1993-01-01,,-102.55556,22.76667,207.72,Mexico,Latin America and the Caribbean,"22.76667,-102.55556"
Historic Quarter of the City of Colonia del Sacramento,1995-01-01,,-57.85333333,-34.46777778,16.0,Uruguay,Latin America and the Caribbean,"-34.46777778,-57.85333333"
"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",1988-01-01,,56.745,23.26986,0.0,Oman,Arab States,"23.26986,56.745"
Chavin (Archaeological Site),1985-01-01,,-77.1784535027,-9.5927725444,14.79,Peru,Latin America and the Caribbean,"-9.5927725444,-77.1784535027"
Rock Carvings in Tanum,1994-01-01,,11.34111,58.70111,0.0,Sweden,Europe and North America,"58.70111,11.34111"
Site of Palmyra,1980-01-01,,38.26667,34.55417,0.36,Syrian Arab Republic,Arab States,"34.55417,38.26667"
Historic Centre of Morelia,1991-01-01,,-101.19167,19.70444,390.0,Mexico,Latin America and the Caribbean,"19.70444,-101.19167"
Ancient City of Ping Yao,1997-01-01,,112.15444,37.20139,245.62,China,Asia and the Pacific,"37.20139,112.15444"
Samarkand  – Crossroad of Cultures,2001-01-01,,67.0,39.66861,1123.0,Uzbekistan,Asia and the Pacific,"39.66861,67.0"
Precolumbian Chiefdom Settlements with Stone Spheres of the Diquís,2014-01-01,,-83.4775,8.9113888889,24.73,Costa Rica,Latin America and the Caribbean,"8.9113888889,-83.4775"
Bryggen,1979-01-01,,5.32306,60.39722,0.0,"Norway,Norway,Norway",Europe and North America,"60.39722,5.32306"
Skogskyrkogården,1994-01-01,,18.09944,59.27556,0.0,Sweden,Europe and North America,"59.27556,18.09944"
"Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem",2012-01-01,,35.2075,31.7043527778,2.98,Palestine,Arab States,"31.7043527778,35.2075"
Royal Domain of Drottningholm,1991-01-01,,17.88333,59.32306,0.0,Sweden,Europe and North America,"59.32306,17.88333"
Old Town of Ávila with its Extra-Muros Churches,1985-01-01,,-4.70012,40.65645,0.0,Spain,Europe and North America,"40.65645,-4.70012"
Sangiran Early Man Site,1996-01-01,,110.8166667,-7.4,5600.0,Indonesia,Asia and the Pacific,"-7.4,110.8166667"
Prehistoric Caves of Yagul and Mitla in the Central Valley of Oaxaca,2010-01-01,,-96.4211111111,16.9508333333,1515.17,Mexico,Latin America and the Caribbean,"16.9508333333,-96.4211111111"
Old Towns of Djenné,1988-01-01,,-4.555,13.90639,0.0,Mali,Africa,"13.90639,-4.555"
"Harar Jugol, the Fortified Historic Town",2006-01-01,,42.1377777777,9.3088888888,48.0,Ethiopia,Africa,"9.3088888888,42.1377777777"
The <I>Trulli</I> of Alberobello,1996-01-01,,17.23694,40.7825,10.52,Italy,Europe and North America,"40.7825,17.23694"
Lower Valley of the Awash,1980-01-01,,40.579390000000000,11.10006,0.0,Ethiopia,Africa,"11.10006,40.57939"
Historic Centre of Brugge,2000-01-01,,3.22527,51.20891,410.0,Belgium,Europe and North America,"51.20891,3.22527"
Longmen Grottoes,2000-01-01,,112.4666667,34.46666667,331.0,China,Asia and the Pacific,"34.46666667,112.4666667"
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,2000-01-01,,44.29514,40.15931,74.3,Armenia,Europe and North America,"40.15931,44.29514"
Petra,1985-01-01,,35.44333,30.33056,26171.0,Jordan,Arab States,"30.33056,35.44333"
"Christiansfeld, a Moravian Church Settlement",2015-01-01,,9.4813888889,55.3555555556,21.2,Denmark,Europe and North America,"55.3555555556,9.4813888889"
Matobo Hills,2003-01-01,,28.5,-20.5,205000.0,Zimbabwe,Africa,"-20.5,28.5"
Droogmakerij de Beemster (Beemster Polder),1999-01-01,,4.911111111,52.54888889,0.0,"Netherlands,Netherlands",Europe and North America,"52.54888889,4.911111111"
Temple of Heaven: an Imperial Sacrificial Altar in Beijing,1998-01-01,,116.4447222,39.84555556,215.0,China,Asia and the Pacific,"39.84555556,116.4447222"
"Ancient <I>Ksour</I> of Ouadane, Chinguetti, Tichitt and Oualata",1996-01-01,,-11.62361,20.92889,0.0,"Mauritania,Mauritania",Arab States,"20.92889,-11.62361"
"Vézelay, Church and Hill",1979-01-01,,3.748333333,47.46638889,183.0,France,Europe and North America,"47.46638889,3.748333333"
Landscape of Grand Pré,2012-01-01,,-64.3072222222,45.1183333333,1323.24,Canada,Europe and North America,"45.1183333333,-64.3072222222"
Neolithic Flint Mines at Spiennes (Mons),2000-01-01,,3.97879,50.43077,172.0,Belgium,Europe and North America,"50.43077,3.97879"
Old Village of Hollókő and its Surroundings,1987-01-01,,19.52917,47.99444,144.5,Hungary,Europe and North America,"47.99444,19.52917"
Selimiye Mosque and its Social Complex,2011-01-01,,26.5594444444,41.6777777778,2.5,Turkey,Europe and North America,"41.6777777778,26.5594444444"
Historic Centre of Shakhrisyabz,2000-01-01,,66.83333,39.05,240.0,Uzbekistan,Asia and the Pacific,"39.05,66.83333"
São Francisco Square in the Town of São Cristóvão,2010-01-01,,-37.21,-11.0161111111,3.0,Brazil,Latin America and the Caribbean,"-11.0161111111,-37.21"
"Rabat, Modern Capital and Historic City: a Shared Heritage",2012-01-01,,-6.8227777778,34.0241666667,348.59,Morocco,Arab States,"34.0241666667,-6.8227777778"
Plantin-Moretus House-Workshops-Museum Complex,2005-01-01,,4.39778,51.21833,0.23,Belgium,Europe and North America,"51.21833,4.39778"
Itsukushima Shinto Shrine,1996-01-01,,132.3246389,34.29441667,431.2,Japan,Asia and the Pacific,"34.29441667,132.3246389"
Chan Chan Archaeological Zone,1986-01-01,Y 1986,-79.08333,-8.1,1414.57,"Peru,Peru",Latin America and the Caribbean,"-8.1,-79.08333"
"Fujisan, sacred place and source of artistic inspiration",2013-01-01,,138.7275,35.3608333333,20702.1,Japan,Asia and the Pacific,"35.3608333333,138.7275"
Strasbourg – Grande île,1988-01-01,,7.7480555556,48.58138889,94.0,France,Europe and North America,"48.58138889,7.7480555556"
Santiago de Compostela (Old Town),1985-01-01,,-8.54468,42.88076,107.59,Spain,Europe and North America,"42.88076,-8.54468"
Aapravasi Ghat,2006-01-01,,57.5031666666,-20.1586388889,0.164,"Mauritius,Mauritius,Mauritius",Africa,"-20.1586388889,57.5031666666"
Hatra,1985-01-01,,42.71833,35.58806,323.75,Iraq,Arab States,"35.58806,42.71833"
"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",1997-01-01,,9.72917,44.10694,4689.25,Italy,Europe and North America,"44.10694,9.72917"
Ensemble of the Ferapontov Monastery,2000-01-01,,38.566666670000000,59.95,2.1,Russian Federation,Europe and North America,"59.95,38.56666667"
Great Living Chola Temples,1987-01-01,,79.1325,10.78305556,21.88,India,Asia and the Pacific,"10.78305556,79.1325"
Ruins of León Viejo,2000-01-01,,-86.61028,12.39722,31.87,Nicaragua,Latin America and the Caribbean,"12.39722,-86.61028"
Ajanta Caves,1983-01-01,,75.7,20.55333,8242.0,India,Asia and the Pacific,"20.55333,75.7"
"Cathedral, Alcázar and Archivo de Indias in Seville",1987-01-01,,-5.99155,37.38384,12.0,Spain,Europe and North America,"37.38384,-5.99155"
Historic Monuments and Sites in Kaesong,2013-01-01,,126.508055556,37.9816666667,494.2,Democratic People's Republic of Korea,Asia and the Pacific,"37.9816666667,126.508055556"
Hill Forts of Rajasthan,2013-01-01,,74.6461111111,24.8833333333,,India,Asia and the Pacific,"24.8833333333,74.6461111111"
Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de Tavarangue,1993-01-01,,-55.7,-27.13333,27.88,Paraguay,Latin America and the Caribbean,"-27.13333,-55.7"
"Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land",2011-01-01,,141.107777778,39.0011111111,176.2,Japan,Asia and the Pacific,"39.0011111111,141.107777778"
Ancient City of Bosra,1980-01-01,,36.48167,32.51806,0.0,Syrian Arab Republic,Arab States,"32.51806,36.48167"
The par force hunting landscape in North Zealand,2015-01-01,,12.3577777778,55.9136111111,4543.0,Denmark,Europe and North America,"55.9136111111,12.3577777778"
Archaeological Sites of the Island of Meroe,2011-01-01,,33.7166666667,16.9333333333,2357.36,Sudan,Arab States,"16.9333333333,33.7166666667"
Historic Centre of Mexico City and Xochimilco,1987-01-01,,-99.13278,19.41833,0.0,Mexico,Latin America and the Caribbean,"19.41833,-99.13278"
Statue of Liberty,1984-01-01,,-74.04472222,40.68944444,5.0,United States of America,Europe and North America,"40.68944444,-74.04472222"
Sanctuary of Asklepios at Epidaurus,1988-01-01,,23.11666667,37.66666667,1393.8,Greece,Europe and North America,"37.66666667,23.11666667"
Genoa: <i>Le Strade Nuove</i> and the system of the<i> Palazzi dei Rolli</i>,2006-01-01,0.0,8.9311111111,44.4122222222,15.777,Italy,Europe and North America,"44.4122222222,8.9311111111"
Mount Wutai,2009-01-01,,113.563333333,39.0305555556,18415.0,China,Asia and the Pacific,"39.0305555556,113.563333333"
Historic Centre of the City of Pienza,1996-01-01,,11.67861111,43.07694444,4.41,Italy,Europe and North America,"43.07694444,11.67861111"
City of Verona,2000-01-01,,10.993888890000000,45.43861111,452.9,Italy,Europe and North America,"45.43861111,10.99388889"
Palace of Westminster and Westminster Abbey including Saint Margaret’s Church,1987-01-01,,-0.128611111,51.49972222,10.26,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"51.49972222,-0.128611111"
Nemrut Dağ,1987-01-01,,38.76369,38.03661,11.0,Turkey,Europe and North America,"38.03661,38.76369"
Bardejov Town Conservation Reserve,2000-01-01,,21.27917,49.29333,23.6,Slovakia,Europe and North America,"49.29333,21.27917"
Takht-e Soleyman,2003-01-01,,47.235,36.60388889,10.0,Iran (Islamic Republic of),Asia and the Pacific,"36.60388889,47.235"
Robben Island,1999-01-01,,18.36666667,-33.8,475.0,South Africa,Africa,"-33.8,18.36666667"
Palace and Park of Fontainebleau,1981-01-01,,2.698055556,48.40194444,144.0,France,Europe and North America,"48.40194444,2.698055556"
Mahabodhi Temple Complex at Bodh Gaya,2002-01-01,,84.99389,24.69528,4.86,India,Asia and the Pacific,"24.69528,84.99389"
Etruscan Necropolises of Cerveteri and Tarquinia,2004-01-01,,12.10188889,42.00683333,326.93,Italy,Europe and North America,"42.00683333,12.10188889"
Churches and Convents of Goa,1986-01-01,,73.91167,15.50222,0.0,India,Asia and the Pacific,"15.50222,73.91167"
Historic Centre of the Town of Diamantina,1999-01-01,,-43.6,-18.23333333,28.5,Brazil,Latin America and the Caribbean,"-18.23333333,-43.6"
Engelsberg Ironworks,1993-01-01,,16.00833,59.96667,0.0,Sweden,Europe and North America,"59.96667,16.00833"
Petäjävesi Old Church,1994-01-01,,25.18333,62.25,0.0,"Finland,Finland",Europe and North America,"62.25,25.18333"
Ir.D.F. Woudagemaal (D.F. Wouda Steam Pumping Station),1998-01-01,,5.67889,52.84583,7.32,"Netherlands,Netherlands",Europe and North America,"52.84583,5.67889"
Mill Network at Kinderdijk-Elshout,1997-01-01,,4.649444444,51.8825,0.0,"Netherlands,Netherlands",Europe and North America,"51.8825,4.649444444"
Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,2000-01-01,,-68.67778,-16.55833333,0.0,Bolivia (Plurinational State of),Latin America and the Caribbean,"-16.55833333,-68.67778"
Historic Centre of Sighişoara,1999-01-01,,24.79222222,46.21777778,33.0,Romania,Europe and North America,"46.21777778,24.79222222"
Holašovice Historic Village,1998-01-01,,14.25277778,48.95972222,11.4,Czech Republic,Europe and North America,"48.95972222,14.25277778"
Longobards in Italy. Places of the Power (568-774 A.D.),2011-01-01,,13.4330555556,46.0941666667,14.08,Italy,Europe and North America,"46.0941666667,13.4330555556"
"Historic Jeddah, the Gate to Makkah",2014-01-01,,39.1875,21.4838888889,17.92,Saudi Arabia,Arab States,"21.4838888889,39.1875"
Coffee Cultural Landscape of Colombia,2011-01-01,,-75.6816666667,5.4716666667,141120.0,Colombia,Latin America and the Caribbean,"5.4716666667,-75.6816666667"
Erbil Citadel,2014-01-01,,44.0091666667,36.1911111111,15.6,Iraq,Arab States,"36.1911111111,44.0091666667"
Mogao Caves,1987-01-01,,94.81667,40.13333,0.0,China,Asia and the Pacific,"40.13333,94.81667"
Pyu Ancient Cities,2014-01-01,,95.8186111111,22.47,5809.0,Myanmar,Asia and the Pacific,"22.47,95.8186111111"
Capital Cities and Tombs of the Ancient Koguryo Kingdom,2004-01-01,,126.1872222,41.15694444,4164.8599,China,Asia and the Pacific,"41.15694444,126.1872222"
Archaeological Sites of Mycenae and Tiryns,1999-01-01,,22.75,37.73333333,0.0,Greece,Europe and North America,"37.73333333,22.75"
"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",1987-01-01,,19.07067,47.48242,473.3,Hungary,Europe and North America,"47.48242,19.07067"
Historic Fortified Town of Campeche,1999-01-01,,-90.53722,19.84639,181.0,Mexico,Latin America and the Caribbean,"19.84639,-90.53722"
Semmering Railway,1998-01-01,,15.82797222,47.64877778,156.18,Austria,Europe and North America,"47.64877778,15.82797222"
Garrison Border Town of Elvas and its Fortifications,2012-01-01,,-7.1633222222,38.8806194444,179.3559,Portugal,Europe and North America,"38.8806194444,-7.1633222222"
Orkhon Valley Cultural Landscape,2004-01-01,,102.8313889,47.55666667,121967.0,Mongolia,Asia and the Pacific,"47.55666667,102.8313889"
Wartburg Castle,1999-01-01,,10.307,50.96677778,0.0,Germany,Europe and North America,"50.96677778,10.307"
Taj Mahal,1983-01-01,,78.04222,27.17417,0.0,India,Asia and the Pacific,"27.17417,78.04222"
Serra da Capivara National Park,1991-01-01,,-42.33333333,-8.416666667,0.0,Brazil,Latin America and the Caribbean,"-8.416666667,-42.33333333"
Gusuku Sites and Related Properties of the Kingdom of Ryukyu,2000-01-01,,127.6827778,26.20861111,54.9,Japan,Asia and the Pacific,"26.20861111,127.6827778"
Røros Mining Town and the Circumference,1980-01-01,,11.3855555556,62.5738888889,,Norway,Europe and North America,"62.5738888889,11.3855555556"
Fortifications of Vauban,2008-01-01,,2.7588888889,50.2825,1153.16,France,Europe and North America,"50.2825,2.7588888889"
Historic Town of Sukhothai and Associated Historic Towns,1991-01-01,,99.78972,17.00722,11852.0,Thailand,Asia and the Pacific,"17.00722,99.78972"
Vegaøyan -- The Vega Archipelago,2004-01-01,,11.75,65.61667,103710.0,"Norway,Norway,Norway,Norway",Europe and North America,"65.61667,11.75"
Kunta Kinteh Island and Related Sites,2003-01-01,,-16.35719444,13.31616667,7.5981000000000000,Gambia,Africa,"13.31616667,-16.35719444"
